"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
1.780192,0.1437435,0.2021103,-0.004586341,0.01128125,-0.004910079,100.5,4,1.8,0.14903,0.20697,0.00047,0.01141,0.00014,0.11589,0.00639,0.05512,0.00026,-1.29718,0.00019,0.14885,0.08335,0.72008,0.70827,2.15306,"none",0.70804,0.70828,0.7078,"Comment",-1,-1,"Sample ID",""
2.126507,0.1720794,0.241102,-0.00489005,0.01303992,-0.005083981,100.7,6,2.1,0.17737,0.24596,0.00017,0.01317,-3e-05,0.11536,0.00618,0.05353,8e-05,-1.49923,7e-05,0.1773,0.08316,0.72113,0.70845,2.56859,"none",0.70794,0.70818,0.7077,"Comment",-1,-1,"Sample ID",""
2.417046,0.1960998,0.2745584,-0.004771502,0.01489099,-0.004920112,100.9,8,2.4,0.20139,0.27942,0.00029,0.01502,0.00013,0.11533,0.0062,0.05374,0.00012,-1.50851,0.00011,0.20128,0.08308,0.72075,0.70826,2.91841,"none",0.70788,0.70812,0.70764,"Comment",-1,-1,"Sample ID",""
2.587061,0.2102057,0.2934054,-0.00498083,0.01589909,-0.00520537,101.1,10,2.6,0.2155,0.29826,8e-05,0.01603,-0.00015,0.11504,0.00618,0.05373,3e-05,-1.61949,3e-05,0.21547,0.0831,0.7225,0.70787,3.12247,"none",0.70785,0.70809,0.70762,"Comment",-1,-1,"Sample ID",""
2.486496,0.2012798,0.2812737,-0.004809686,0.01554117,-0.005142832,101.3,12,2.5,0.20657,0.28613,0.00025,0.01567,-9e-05,0.11481,0.00629,0.05476,1e-04,-1.70502,1e-04,0.20647,0.08285,0.72194,0.70766,3.00042,"none",0.70783,0.70807,0.70759,"Comment",-1,-1,"Sample ID",""
2.395718,0.1933621,0.2703417,-0.004659066,0.01470136,-0.00514731,101.5,14,2.4,0.19865,0.2752,4e-04,0.01483,-9e-05,0.1146,0.00617,0.05388,0.00017,-1.78553,0.00016,0.19849,0.08266,0.72184,0.70775,2.88989,"none",0.70776,0.70798,0.70755,"Comment",-1,-1,"Sample ID",""
2.347491,0.1897124,0.2653233,-0.004876219,0.01428695,-0.004935938,101.7,16,2.4,0.195,0.27018,0.00018,0.01441,0.00012,0.11482,0.00613,0.05335,8e-05,-1.70352,7e-05,0.19493,0.08284,0.72174,0.70734,2.83267,"none",0.70771,0.70787,0.70754,"Comment",-1,-1,"Sample ID",""
2.318418,0.1874826,0.2619461,-0.005035847,0.01431397,-0.00523522,101.9,18,2.3,0.19277,0.26681,2e-05,0.01444,-0.00018,0.1148,0.00621,0.05412,1e-05,-1.7099,1e-05,0.19276,0.08294,0.72252,0.70744,2.79808,"none",0.70767,0.70779,0.70755,"Comment",-1,-1,"Sample ID",""
2.336462,0.1886903,0.2641063,-0.00487175,0.01464052,-0.005110526,102.1,20,2.3,0.19398,0.26897,0.00019,0.01477,-6e-05,0.11484,0.0063,0.0549,8e-05,-1.69554,7e-05,0.19391,0.08279,0.72121,0.70767,2.81975,"none",0.70767,0.7078,0.70755,"Comment",-1,-1,"Sample ID",""
2.509298,0.2034485,0.2844307,-0.004973018,0.01520053,-0.005198935,102.3,22,2.5,0.20874,0.28929,8e-05,0.01533,-0.00015,0.11503,0.00609,0.05298,3e-05,-1.62384,3e-05,0.2087,0.08299,0.72155,0.70758,3.02827,"none",0.70773,0.70788,0.70757,"Comment",-1,-1,"Sample ID",""
2.709354,0.2202118,0.3081029,-0.004898513,0.01706665,-0.004877225,102.5,24,2.7,0.2255,0.31296,0.00016,0.01719,0.00018,0.11527,0.00633,0.05494,6e-05,-1.53192,6e-05,0.22544,0.08303,0.72054,0.70764,3.2706,"none",0.70776,0.70793,0.70759,"Comment",-1,-1,"Sample ID",""
2.609685,0.2112813,0.2955977,-0.005047227,0.01605182,-0.005140655,102.7,26,2.6,0.21657,0.30046,1e-05,0.01618,-9e-05,0.11488,0.00619,0.05384,0,-1.6789,0,0.21657,0.08281,0.72081,0.70785,3.14854,"none",0.70783,0.70799,0.70768,"Comment",-1,-1,"Sample ID",""
2.536964,0.205561,0.2869287,-0.005288693,0.01574295,-0.005055713,102.9,28,2.5,0.21085,0.29179,-0.00023,0.01587,0,0.11476,0.00624,0.05439,-9e-05,-1.72582,-9e-05,0.21094,0.08296,0.72262,0.70794,3.06121,"none",0.70791,0.70805,0.70777,"Comment",-1,-1,"Sample ID",""
2.556906,0.2073042,0.2895797,-0.004908578,0.01571731,-0.005000818,103.1,30,2.6,0.21259,0.29444,0.00015,0.01584,5e-05,0.1149,0.00618,0.05381,6e-05,-1.67219,6e-05,0.21253,0.08294,0.72203,0.70788,3.08537,"none",0.70799,0.70817,0.70782,"Comment",-1,-1,"Sample ID",""
2.628345,0.2137021,0.2986078,-0.004796109,0.01631817,-0.005155351,103.3,32,2.6,0.21899,0.30347,0.00026,0.01644,-1e-04,0.11521,0.00624,0.05419,1e-04,-1.55445,1e-04,0.21889,0.0831,0.72163,0.70816,3.17279,"none",0.70806,0.70822,0.70791,"Comment",-1,-1,"Sample ID",""
2.69488,0.2186015,0.3055231,-0.004884553,0.01657759,-0.005294658,103.5,34,2.7,0.22389,0.31038,0.00017,0.0167,-0.00024,0.11493,0.00619,0.05382,6e-05,-1.65955,7e-05,0.22382,0.08288,0.72134,0.70808,3.25144,"none",0.70811,0.70824,0.70799,"Comment",-1,-1,"Sample ID",""
2.822084,0.2294932,0.3206193,-0.005188303,0.01750223,-0.005136142,103.7,36,2.8,0.23478,0.32548,-0.00013,0.01763,-8e-05,0.1151,0.00623,0.05416,-5e-05,-1.59582,-5e-05,0.23484,0.08305,0.72135,0.70808,3.40568,"none",0.70816,0.70828,0.70804,"Comment",-1,-1,"Sample ID",""
2.694249,0.2187028,0.3051467,-0.004904431,0.0163525,-0.005024842,103.9,38,2.7,0.22399,0.31001,0.00015,0.01648,3e-05,0.11482,0.0061,0.05316,6e-05,-1.7022,6e-05,0.22393,0.08294,0.72254,0.7082,3.25031,"none",0.70819,0.70829,0.70808,"Comment",-1,-1,"Sample ID",""
2.60913,0.2114424,0.2952704,-0.005102224,0.01609771,-0.00514629,104.1,40,2.6,0.21673,0.30013,-5e-05,0.01622,-9e-05,0.11478,0.0062,0.05406,-2e-05,-1.71711,-2e-05,0.21675,0.08289,0.72213,0.7085,3.14788,"none",0.70822,0.7083,0.70814,"Comment",-1,-1,"Sample ID",""
2.768198,0.2250693,0.314025,-0.005304541,0.01694348,-0.005104356,104.3,42,2.8,0.23036,0.31888,-0.00025,0.01707,-5e-05,0.11496,0.00615,0.05353,-9e-05,-1.64928,-1e-04,0.23046,0.08308,0.72239,0.7083,3.34026,"none",0.70825,0.70834,0.70815,"Comment",-1,-1,"Sample ID",""
2.90386,0.2365538,0.329848,-0.00487128,0.01804856,-0.005014817,104.5,44,2.9,0.24184,0.33471,0.00019,0.01817,4e-05,0.11504,0.00625,0.0543,6e-05,-1.61973,7e-05,0.24177,0.0831,0.72255,0.70814,3.50416,"none",0.70828,0.70836,0.70819,"Comment",-1,-1,"Sample ID",""
2.831942,0.2298702,0.3209798,-0.004754372,0.01743669,-0.005045758,104.7,46,2.8,0.23516,0.32584,3e-04,0.01756,1e-05,0.11483,0.00619,0.0539,0.00011,-1.69912,0.00012,0.23504,0.08283,0.72171,0.70831,3.41603,"none",0.70828,0.70836,0.70819,"Comment",-1,-1,"Sample ID",""
