"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
0.607805,0.04567484,0.06575379,-0.005142183,0.003248718,-0.005068949,77.9,0,0.6,0.05096,0.07074,-8e-05,0.00384,8e-05,0.11524,0.00625,0.05427,-0.00012,-1.54315,-3e-05,0.05099,0.08306,0.72036,0.70836,0.73941,"none",0.70775,0.70806,0.70744,"Comment",-1,-1,"Sample ID",""
0.7142265,0.05458132,0.07814463,-0.005197492,0.003947125,-0.005214872,78.1,2,0.7,0.05986,0.08313,-0.00013,0.00454,-7e-05,0.11542,0.0063,0.05458,-0.00018,-1.47677,-5e-05,0.05992,0.08319,0.72013,0.7083,0.86784,"none",0.70767,0.70797,0.70736,"Comment",-1,-1,"Sample ID",""
0.9483223,0.07412611,0.1050514,-0.004906875,0.005588021,-0.005257358,78.5,6,1,0.07941,0.11004,0.00016,0.00618,-0.00011,0.1153,0.00647,0.05615,0.00017,-1.52104,6e-05,0.07935,0.08314,0.72166,0.70793,1.14992,"none",0.70759,0.7079,0.70729,"Comment",-1,-1,"Sample ID",""
1.04401,0.08195581,0.1159537,-0.004984523,0.005694237,-0.005243571,78.7,8,1.1,0.08724,0.12094,8e-05,0.00628,-1e-04,0.11518,0.00598,0.05196,8e-05,-1.56798,3e-05,0.08721,0.08305,0.72134,0.70758,1.26447,"none",0.70758,0.70789,0.70728,"Comment",-1,-1,"Sample ID",""
1.142765,0.09003586,0.127244,-0.004663922,0.007042535,-0.004971968,78.9,10,1.1,0.09532,0.13223,4e-04,0.00763,0.00017,0.1151,0.00664,0.05772,0.00035,-1.59559,0.00016,0.09516,0.08283,0.72086,0.70739,1.38382,"none",0.70758,0.70788,0.70727,"Comment",-1,-1,"Sample ID",""
1.229439,0.09698529,0.1371638,-0.00511338,0.00696006,-0.005129805,79.1,12,1.2,0.10227,0.14215,-5e-05,0.00755,1e-05,0.11506,0.00611,0.05312,-4e-05,-1.61292,-2e-05,0.10229,0.08279,0.71944,0.70693,1.48746,"none",0.70751,0.70776,0.70725,"Comment",-1,-1,"Sample ID",""
1.246201,0.09871575,0.1389936,-0.004655803,0.007529913,-0.005077764,79.3,14,1.3,0.104,0.14398,0.00041,0.00812,7e-05,0.11498,0.00648,0.0564,0.00033,-1.64278,0.00016,0.10383,0.08292,0.72232,0.70716,1.50817,"none",0.7074,0.70759,0.70721,"Comment",-1,-1,"Sample ID",""
1.333299,0.1057228,0.1492807,-0.004881917,0.007993785,-0.005048285,79.5,16,1.3,0.11101,0.15427,0.00018,0.00858,1e-04,0.11518,0.00641,0.05564,0.00014,-1.56575,7e-05,0.11093,0.08283,0.71957,0.7071,1.61312,"none",0.70737,0.70754,0.70721,"Comment",-1,-1,"Sample ID",""
1.451976,0.1157521,0.1626718,-0.005455944,0.007957954,-0.00529898,79.7,18,1.5,0.12104,0.16766,-0.00039,0.00855,-0.00015,0.11499,0.00586,0.05099,-0.00027,-1.63795,-0.00016,0.12119,0.08312,0.72192,0.7075,1.75541,"none",0.70737,0.70754,0.70721,"Comment",-1,-1,"Sample ID",""
1.54042,0.1229243,0.1727953,-0.00444942,0.009225779,-0.005019523,79.9,20,1.5,0.12821,0.17778,0.00062,0.00982,0.00012,0.11496,0.00635,0.05521,4e-04,-1.6494,0.00025,0.12796,0.08274,0.72115,0.7075,1.86201,"none",0.70741,0.7076,0.70723,"Comment",-1,-1,"Sample ID",""
1.561863,0.1247876,0.1749177,-0.004900334,0.009384084,-0.005358336,80.1,22,1.6,0.13007,0.1799,0.00017,0.00997,-0.00021,0.11474,0.00636,0.05544,0.00011,-1.73224,7e-05,0.13,0.08292,0.723,0.70766,1.88778,"none",0.70753,0.70772,0.70733,"Comment",-1,-1,"Sample ID",""
1.659283,0.1328939,0.1867383,-0.005061665,0.009823113,-0.005063865,80.3,24,1.7,0.13818,0.19172,0,0.01041,8e-05,0.11513,0.00625,0.05431,0,-1.58613,0,0.13818,0.08297,0.72071,0.70719,2.00563,"none",0.70764,0.70786,0.70741,"Comment",-1,-1,"Sample ID",""
1.645812,0.1313043,0.1843251,-0.00517916,0.009697693,-0.005308732,80.5,26,1.7,0.13659,0.18931,-0.00011,0.01029,-0.00016,0.11461,0.00623,0.05434,-7e-05,-1.78397,-5e-05,0.13663,0.08272,0.7215,0.70769,1.98808,"none",0.70772,0.70792,0.70753,"Comment",-1,-1,"Sample ID",""
1.80791,0.1454943,0.2043578,-0.004484051,0.01085404,-0.005139721,80.7,28,1.8,0.15078,0.20934,0.00058,0.01144,0,0.11541,0.00631,0.05467,0.00032,-1.48028,0.00023,0.15055,0.08299,0.72024,0.70759,2.18528,"none",0.70777,0.70796,0.70757,"Comment",-1,-1,"Sample ID",""
2.145654,0.173529,0.2427845,-0.005074323,0.01255128,-0.0054972,81.1,32,2.2,0.17881,0.24777,-1e-05,0.01314,-0.00035,0.11515,0.00611,0.05304,0,-1.5771,0,0.17882,0.0831,0.72168,0.70778,2.59141,"none",0.70782,0.70801,0.70763,"Comment",-1,-1,"Sample ID",""
2.284209,0.1847993,0.2585875,-0.004986346,0.01365972,-0.005136168,81.3,34,2.3,0.19008,0.26357,8e-05,0.01425,1e-05,0.11509,0.00622,0.05406,4e-05,-1.60217,3e-05,0.19005,0.08298,0.72117,0.70809,2.75812,"none",0.70782,0.70801,0.70763,"Comment",-1,-1,"Sample ID",""
2.527485,0.2051159,0.2864876,-0.00508785,0.01521413,-0.005267359,81.5,36,2.5,0.2104,0.29147,-2e-05,0.0158,-0.00012,0.11505,0.00624,0.05422,-1e-05,-1.61672,-1e-05,0.21041,0.08305,0.72185,0.70824,3.0512,"none",0.70788,0.70801,0.70775,"Comment",-1,-1,"Sample ID",""
2.743119,0.2232838,0.3114018,-0.004609139,0.01699146,-0.005135626,81.7,38,2.7,0.22857,0.31639,0.00046,0.01758,1e-05,0.11509,0.0064,0.05557,0.00017,-1.6021,0.00018,0.22838,0.08307,0.72243,0.70795,3.31151,"none",0.7079,0.70803,0.70778,"Comment",-1,-1,"Sample ID",""
2.771781,0.2250803,0.3143188,-0.004940913,0.01668566,-0.005399542,81.9,40,2.8,0.23036,0.3193,0.00013,0.01728,-0.00026,0.11495,0.00622,0.0541,5e-05,-1.6541,5e-05,0.23031,0.08291,0.72145,0.708,3.34471,"none",0.70793,0.70803,0.70783,"Comment",-1,-1,"Sample ID",""
2.649456,0.2146961,0.299783,-0.004799157,0.0162526,-0.005097519,82.1,42,2.7,0.21998,0.30477,0.00027,0.01684,5e-05,0.11477,0.00634,0.05526,1e-04,-1.72186,0.00011,0.21987,0.0828,0.72179,0.70798,3.19697,"none",0.70792,0.70803,0.7078,"Comment",-1,-1,"Sample ID",""
2.576503,0.2087306,0.2912203,-0.005080011,0.01527228,-0.005195554,82.3,44,2.6,0.21401,0.29621,-1e-05,0.01586,-5e-05,0.1147,0.00614,0.05355,-1e-05,-1.74976,-1e-05,0.21402,0.08287,0.72252,0.70768,3.10862,"none",0.70789,0.708,0.70777,"Comment",-1,-1,"Sample ID",""
2.472193,0.2002964,0.279292,-0.004850215,0.01506849,-0.005122648,82.5,46,2.5,0.20558,0.28428,0.00022,0.01566,2e-05,0.11471,0.00632,0.05508,9e-05,-1.7443,9e-05,0.20549,0.08292,0.72316,0.70777,2.98366,"none",0.70782,0.70792,0.70773,"Comment",-1,-1,"Sample ID",""
2.394487,0.1934818,0.2701707,-0.004660378,0.01453269,-0.00505869,82.7,48,2.4,0.19876,0.27516,0.00041,0.01512,9e-05,0.11462,0.0063,0.05496,0.00017,-1.77714,0.00016,0.1986,0.08273,0.72237,0.70794,2.8894,"none",0.7078,0.70789,0.70772,"Comment",-1,-1,"Sample ID",""
2.441196,0.1977834,0.276049,-0.004739697,0.0150267,-0.005204226,82.9,50,2.4,0.20307,0.28103,0.00033,0.01562,-6e-05,0.11484,0.00638,0.05557,0.00013,-1.69584,0.00013,0.20294,0.08292,0.72257,0.70788,2.94682,"none",0.70777,0.70785,0.70768,"Comment",-1,-1,"Sample ID",""
2.349947,0.1899697,0.2653926,-0.00518234,0.01368613,-0.005192732,83.1,52,2.4,0.19525,0.27038,-0.00012,0.01428,-5e-05,0.11476,0.00606,0.0528,-5e-05,-1.72442,-5e-05,0.1953,0.0829,0.72215,0.70764,2.83593,"none",0.70774,0.70781,0.70768,"Comment",-1,-1,"Sample ID",""
