"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
0.8457136,0.06587527,0.09374143,-0.004560478,0.004633623,-0.005306072,79.5,2,0.9,0.07117,0.09867,0.00051,0.00499,-0.00021,0.11585,0.00585,0.05054,0.00059,-1.31354,2e-04,0.07097,0.08332,0.72124,0.70852,1.02636,"none",0.70883,0.70899,0.70867,"Comment",-1,-1,"Sample ID",""
1.092451,0.08608945,0.1218945,-0.00484679,0.006513003,-0.005022926,79.7,4,1.1,0.09138,0.12683,0.00022,0.00687,7e-05,0.11546,0.00625,0.05414,2e-04,-1.46146,9e-05,0.0913,0.08311,0.72052,0.70868,1.32346,"none",0.70884,0.709,0.70868,"Comment",-1,-1,"Sample ID",""
1.35317,0.1079452,0.1518634,-0.00492695,0.007863058,-0.005222641,79.9,6,1.4,0.11324,0.1568,0.00014,0.00822,-0.00013,0.11536,0.00604,0.0524,1e-04,-1.49842,6e-05,0.11318,0.08327,0.7222,0.7089,1.63739,"none",0.7088,0.70896,0.70864,"Comment",-1,-1,"Sample ID",""
1.623427,0.1303674,0.1829492,-0.004910051,0.009551898,-0.005202072,80.1,8,1.6,0.13566,0.18788,0.00016,0.0099,-0.00011,0.1153,0.00608,0.05272,1e-04,-1.51951,6e-05,0.1356,0.08322,0.72205,0.70885,1.96283,"none",0.70876,0.70892,0.7086,"Comment",-1,-1,"Sample ID",""
1.82447,0.1470925,0.2056155,-0.004818626,0.01074731,-0.00517344,80.3,10,1.8,0.15239,0.21055,0.00025,0.0111,-8e-05,0.11502,0.00606,0.05272,0.00014,-1.62581,1e-04,0.15229,0.08319,0.72375,0.70909,2.20443,"none",0.70872,0.70888,0.70856,"Comment",-1,-1,"Sample ID",""
1.938503,0.1562371,0.2185906,-0.004556657,0.01175547,-0.005216013,80.5,12,1.9,0.16153,0.22352,0.00051,0.01211,-0.00012,0.11495,0.00623,0.05417,0.00026,-1.65332,2e-04,0.16133,0.08296,0.72265,0.70894,2.34148,"none",0.70871,0.70888,0.70854,"Comment",-1,-1,"Sample ID",""
2.087459,0.1687137,0.2356107,-0.004739236,0.01227288,-0.005189098,80.7,14,2.1,0.17401,0.24054,0.00033,0.01263,-1e-04,0.1149,0.00603,0.05249,0.00016,-1.67185,0.00013,0.17388,0.08306,0.72339,0.70892,2.52053,"none",0.70863,0.70886,0.70839,"Comment",-1,-1,"Sample ID",""
2.084228,0.168347,0.2350584,-0.004644143,0.01262494,-0.005062236,80.9,16,2.1,0.17364,0.23999,0.00042,0.01298,3e-05,0.11481,0.00621,0.05408,2e-04,-1.70468,0.00017,0.17347,0.08299,0.72353,0.70846,2.51669,"none",0.70856,0.7088,0.70831,"Comment",-1,-1,"Sample ID",""
1.953881,0.1573142,0.2194462,-0.00479042,0.01179216,-0.005085664,81.1,18,2,0.16261,0.22438,0.00028,0.01215,1e-05,0.11448,0.0062,0.05413,0.00014,-1.82992,0.00011,0.1625,0.08291,0.7247,0.70844,2.35892,"none",0.7085,0.70873,0.70826,"Comment",-1,-1,"Sample ID",""
1.87684,0.1507429,0.2110859,-0.004805515,0.01120821,-0.005121999,81.3,20,1.9,0.15604,0.21602,0.00026,0.01156,-3e-05,0.11473,0.00614,0.05352,0.00014,-1.73718,1e-04,0.15593,0.08282,0.72232,0.70839,2.26637,"none",0.7084,0.70861,0.70819,"Comment",-1,-1,"Sample ID",""
