"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
0.6772049,0.05140436,0.07390629,-0.004868036,0.00351564,-0.005266996,78.3,4,0.7,0.05668,0.07892,0.00018,0.00415,-0.00012,0.11551,0.00607,0.05253,0.00026,-1.44322,7e-05,0.05661,0.08285,0.71823,0.70612,0.8229,"none",0.70677,0.70709,0.70646,"Comment",-1,-1,"Sample ID",""
0.961051,0.07496284,0.1065255,-0.004567373,0.005426648,-0.005148349,78.7,8,1,0.08024,0.11154,0.00048,0.00606,-1e-05,0.11533,0.00626,0.0543,5e-04,-1.50828,0.00019,0.08005,0.08277,0.7194,0.7068,1.16472,"none",0.70668,0.707,0.70637,"Comment",-1,-1,"Sample ID",""
1.251333,0.09919057,0.1404047,-0.005306925,0.006995615,-0.005325115,78.9,10,1.3,0.10447,0.14542,-0.00026,0.00763,-0.00018,0.11565,0.00607,0.05244,-0.00021,-1.38841,-1e-04,0.10457,0.08317,0.7184,0.70692,1.51497,"none",0.70656,0.70688,0.70625,"Comment",-1,-1,"Sample ID",""
1.545351,0.1240133,0.1739929,-0.004545067,0.009162608,-0.00498857,79.1,12,1.6,0.12929,0.179,5e-04,0.00979,0.00015,0.11538,0.00631,0.05471,0.00032,-1.48935,2e-04,0.12909,0.08321,0.72227,0.7069,1.86926,"none",0.70651,0.70683,0.7062,"Comment",-1,-1,"Sample ID",""
1.72423,0.1381713,0.1942429,-0.005288792,0.009801523,-0.005335182,79.3,14,1.7,0.14345,0.19925,-0.00024,0.01043,-0.00019,0.11516,0.00603,0.05235,-0.00014,-1.57442,-1e-04,0.14354,0.08296,0.71992,0.70727,2.08349,"none",0.70647,0.70678,0.70615,"Comment",-1,-1,"Sample ID",""
1.864292,0.1494568,0.2099424,-0.004610413,0.01074902,-0.005118103,79.5,16,1.9,0.15473,0.21495,0.00044,0.01138,2e-05,0.11493,0.00608,0.05294,0.00023,-1.66139,0.00017,0.15456,0.08264,0.71984,0.70664,2.25121,"none",0.70651,0.70682,0.70621,"Comment",-1,-1,"Sample ID",""
1.989211,0.1601007,0.2244402,-0.004970402,0.01174298,-0.005210459,79.7,18,2,0.16538,0.22945,8e-05,0.01237,-7e-05,0.115,0.0062,0.05393,4e-05,-1.63463,3e-05,0.16535,0.08287,0.72075,0.70614,2.40241,"none",0.70647,0.70677,0.70617,"Comment",-1,-1,"Sample ID",""
1.901272,0.1521827,0.2138573,-0.004661575,0.01111479,-0.005183597,79.9,20,1.9,0.15746,0.21887,0.00039,0.01175,-4e-05,0.11475,0.00616,0.05366,2e-04,-1.728,0.00015,0.1573,0.08247,0.71942,0.70573,2.29522,"none",0.70647,0.70676,0.70617,"Comment",-1,-1,"Sample ID",""
1.743572,0.1393777,0.195323,-0.004708698,0.01044125,-0.005238966,80.1,22,1.7,0.14465,0.20033,0.00034,0.01107,-1e-04,0.1145,0.00633,0.05527,0.00019,-1.82301,0.00014,0.14452,0.0826,0.72206,0.7061,2.10552,"none",0.70647,0.70678,0.70617,"Comment",-1,-1,"Sample ID",""
1.519301,0.1205503,0.1696245,-0.005029503,0.008622098,-0.005259292,80.3,24,1.5,0.12583,0.17464,2e-05,0.00925,-0.00012,0.11449,0.00607,0.05298,1e-05,-1.82769,1e-05,0.12582,0.08249,0.72051,0.70607,1.83503,"none",0.70643,0.70669,0.70617,"Comment",-1,-1,"Sample ID",""
1.531691,0.1220799,0.1716532,-0.005096349,0.008703882,-0.004969324,80.5,26,1.5,0.12736,0.17666,-5e-05,0.00933,0.00017,0.11489,0.00607,0.05284,-3e-05,-1.67709,-2e-05,0.12738,0.08283,0.72089,0.70655,1.85109,"none",0.70646,0.70673,0.70618,"Comment",-1,-1,"Sample ID",""
1.593748,0.1273902,0.1788968,-0.00469707,0.009116882,-0.005188641,80.7,28,1.6,0.13267,0.18391,0.00035,0.00975,-5e-05,0.11496,0.00609,0.053,0.00022,-1.65009,0.00014,0.13253,0.08284,0.72137,0.70639,1.92596,"none",0.70654,0.70682,0.70626,"Comment",-1,-1,"Sample ID",""
1.680047,0.134348,0.1888651,-0.005181765,0.009484923,-0.005271056,80.9,30,1.7,0.13962,0.19388,-0.00013,0.01012,-0.00013,0.11499,0.006,0.05217,-8e-05,-1.63943,-5e-05,0.13968,0.08284,0.72017,0.70687,2.02974,"none",0.70667,0.7069,0.70644,"Comment",-1,-1,"Sample ID",""
1.647631,0.1315215,0.1850911,-0.004812725,0.009682047,-0.005285502,81.1,32,1.7,0.1368,0.1901,0.00023,0.01031,-0.00014,0.11496,0.00624,0.05425,0.00014,-1.65009,9e-05,0.1367,0.08267,0.7196,0.70698,1.99078,"none",0.70674,0.70694,0.70654,"Comment",-1,-1,"Sample ID",""
1.668861,0.1334719,0.1873039,-0.005240803,0.009550144,-0.005120269,81.3,34,1.7,0.13875,0.19232,-0.00019,0.01018,2e-05,0.11482,0.00608,0.05294,-0.00012,-1.70162,-8e-05,0.13883,0.08289,0.72146,0.70682,2.01621,"none",0.70681,0.70694,0.70668,"Comment",-1,-1,"Sample ID",""
1.869838,0.1507114,0.2112841,-0.004556123,0.01127178,-0.00522818,81.5,36,1.9,0.15599,0.2163,0.00049,0.0119,-9e-05,0.1153,0.00634,0.05503,0.00026,-1.51941,2e-04,0.15579,0.08305,0.72118,0.70692,2.25985,"none",0.70682,0.70694,0.7067,"Comment",-1,-1,"Sample ID",""
1.9712,0.1585365,0.2225896,-0.004793602,0.01164317,-0.005130699,81.7,38,2,0.16381,0.2276,0.00025,0.01227,1e-05,0.11511,0.00621,0.05393,0.00013,-1.59241,1e-04,0.16371,0.0828,0.71974,0.70693,2.38081,"none",0.7069,0.70699,0.70681,"Comment",-1,-1,"Sample ID",""
1.91969,0.1542118,0.2158494,-0.004916818,0.01135942,-0.005205818,81.9,40,1.9,0.15949,0.22086,0.00013,0.01199,-6e-05,0.11469,0.00623,0.05429,7e-05,-1.75192,5e-05,0.15944,0.08279,0.72212,0.70707,2.318,"none",0.70686,0.70698,0.70674,"Comment",-1,-1,"Sample ID",""
1.807088,0.1444239,0.2027809,-0.004967274,0.01084667,-0.005235815,82.1,42,1.8,0.1497,0.20779,8e-05,0.01148,-9e-05,0.11461,0.00633,0.05523,4e-05,-1.78421,3e-05,0.14967,0.08255,0.72043,0.7068,2.18205,"none",0.7068,0.70695,0.70664,"Comment",-1,-1,"Sample ID",""
1.716424,0.1374447,0.1924686,-0.005267384,0.009792777,-0.005229498,82.3,44,1.7,0.14272,0.19748,-0.00022,0.01042,-9e-05,0.11465,0.00605,0.05278,-0.00013,-1.76695,-9e-05,0.14281,0.08291,0.72271,0.70673,2.07316,"none",0.70676,0.70693,0.70659,"Comment",-1,-1,"Sample ID",""
1.631014,0.1300611,0.1825494,-0.004876551,0.009778128,-0.00509718,82.5,46,1.6,0.13534,0.18756,0.00017,0.01041,4e-05,0.11457,0.00636,0.05549,1e-04,-1.7964,7e-05,0.13527,0.08263,0.72157,0.70669,1.97028,"none",0.70672,0.70689,0.70655,"Comment",-1,-1,"Sample ID",""
1.597251,0.1271735,0.1787129,-0.004881027,0.0093839,-0.005186991,82.7,48,1.6,0.13245,0.18372,0.00017,0.01001,-4e-05,0.11459,0.00625,0.05451,1e-04,-1.78885,7e-05,0.13238,0.08257,0.72092,0.70715,1.9294,"none",0.70666,0.70684,0.70648,"Comment",-1,-1,"Sample ID",""
1.75121,0.1404588,0.1971812,-0.004922476,0.01043536,-0.004945184,82.9,50,1.8,0.14574,0.20219,0.00013,0.01107,2e-04,0.11506,0.0063,0.05473,7e-05,-1.61072,5e-05,0.14568,0.08291,0.72077,0.70649,2.11618,"none",0.70661,0.70676,0.70645,"Comment",-1,-1,"Sample ID",""
1.751915,0.1404503,0.1967492,-0.004943856,0.01028437,-0.005263228,83.1,52,1.8,0.14573,0.20176,1e-04,0.01091,-0.00012,0.11477,0.00621,0.0541,6e-05,-1.72129,4e-05,0.14568,0.08287,0.72227,0.70636,2.1163,"none",0.70658,0.70673,0.70644,"Comment",-1,-1,"Sample ID",""
1.805307,0.1446719,0.2036033,-0.004722294,0.01109049,-0.005126552,83.3,54,1.8,0.14995,0.20861,0.00033,0.01172,2e-05,0.11517,0.00647,0.05618,0.00018,-1.56948,0.00013,0.14982,0.08271,0.71878,0.70641,2.18149,"none",0.70658,0.70672,0.70643,"Comment",-1,-1,"Sample ID",""
1.696812,0.1352629,0.1901323,-0.005189134,0.009731869,-0.005335793,83.5,56,1.7,0.14054,0.19514,-0.00014,0.01036,-0.00019,0.1146,0.00609,0.0531,-8e-05,-1.78653,-6e-05,0.1406,0.08257,0.72018,0.70654,2.04894,"none",0.70657,0.70671,0.70643,"Comment",-1,-1,"Sample ID",""
1.628319,0.1298491,0.1824065,-0.004842389,0.00983919,-0.005217474,83.7,58,1.6,0.13513,0.18742,0.00021,0.01047,-8e-05,0.11467,0.00641,0.05586,0.00013,-1.75785,8e-05,0.13504,0.08263,0.72098,0.70636,1.96728,"none",0.70649,0.70656,0.70643,"Comment",-1,-1,"Sample ID",""
1.673467,0.1340291,0.1880389,-0.005013908,0.009813081,-0.005247213,83.9,60,1.7,0.13931,0.19305,3e-05,0.01044,-0.00011,0.11495,0.00622,0.0541,2e-05,-1.65512,1e-05,0.13929,0.08294,0.7216,0.70654,2.02228,"none",0.70651,0.70659,0.70643,"Comment",-1,-1,"Sample ID",""
1.685878,0.1348153,0.1891585,-0.004892623,0.01019684,-0.005127774,84.1,62,1.7,0.14009,0.19417,0.00015,0.01083,1e-05,0.11476,0.0064,0.05576,9e-05,-1.72389,6e-05,0.14003,0.08276,0.72149,0.70656,2.03693,"none",0.70657,0.70669,0.70646,"Comment",-1,-1,"Sample ID",""
1.686209,0.1347387,0.1894597,-0.004995383,0.009883676,-0.005184747,84.3,64,1.7,0.14001,0.19447,5e-05,0.01051,-4e-05,0.11492,0.00621,0.05406,3e-05,-1.66493,2e-05,0.13999,0.08273,0.71998,0.70666,2.03721,"none",0.70663,0.70677,0.70649,"Comment",-1,-1,"Sample ID",""
1.65015,0.1317943,0.1854475,-0.004861033,0.01006376,-0.005071149,84.5,66,1.7,0.13707,0.19046,0.00019,0.01069,7e-05,0.115,0.00646,0.05615,0.00011,-1.63482,7e-05,0.137,0.08272,0.71969,0.70663,1.99432,"none",0.70668,0.70683,0.70652,"Comment",-1,-1,"Sample ID",""
1.86337,0.1497074,0.2102204,-0.004803849,0.01104236,-0.005167537,84.7,68,1.9,0.15498,0.21523,0.00024,0.01167,-3e-05,0.11513,0.00624,0.05423,0.00013,-1.58366,1e-04,0.15489,0.08285,0.72008,0.70639,2.25119,"none",0.70673,0.70688,0.70659,"Comment",-1,-1,"Sample ID",""
1.918139,0.1544014,0.2164177,-0.004948058,0.01164143,-0.005032468,84.9,70,1.9,0.15968,0.22143,1e-04,0.01227,0.00011,0.11508,0.00638,0.05542,5e-05,-1.60498,4e-05,0.15964,0.08296,0.72112,0.70666,2.3175,"none",0.70675,0.70688,0.70661,"Comment",-1,-1,"Sample ID",""
1.824809,0.1461349,0.2051607,-0.004758112,0.01094005,-0.004898127,85.1,72,1.8,0.15141,0.21017,0.00029,0.01157,0.00024,0.1148,0.00632,0.05505,0.00016,-1.71189,0.00012,0.1513,0.08264,0.72042,0.70699,2.20387,"none",0.7067,0.70689,0.70651,"Comment",-1,-1,"Sample ID",""
1.797354,0.1440739,0.2019353,-0.005081084,0.01082121,-0.005035956,85.3,74,1.8,0.14935,0.20695,-3e-05,0.01145,0.00011,0.11475,0.00635,0.05534,-2e-05,-1.72738,-1e-05,0.14936,0.08282,0.72168,0.70702,2.17114,"none",0.70661,0.70688,0.70634,"Comment",-1,-1,"Sample ID",""
1.800669,0.1444375,0.2025821,-0.005113034,0.01068849,-0.005083547,85.5,76,1.8,0.14971,0.20759,-7e-05,0.01132,6e-05,0.1149,0.00626,0.05452,-4e-05,-1.67149,-3e-05,0.14974,0.08288,0.72119,0.70699,2.17535,"none",0.70652,0.70684,0.70619,"Comment",-1,-1,"Sample ID",""
1.997339,0.1607955,0.225701,-0.00497882,0.01223075,-0.005199241,85.7,78,2,0.16607,0.23071,7e-05,0.01286,-6e-05,0.11516,0.00642,0.05574,3e-05,-1.57306,3e-05,0.16604,0.08288,0.71982,0.70691,2.41298,"none",0.70648,0.70682,0.70614,"Comment",-1,-1,"Sample ID",""
2.094684,0.1689764,0.2367942,-0.005089899,0.0125961,-0.005106505,85.9,80,2.1,0.17425,0.24181,-4e-05,0.01323,4e-05,0.11511,0.0063,0.0547,-2e-05,-1.59417,-2e-05,0.17427,0.08296,0.72063,0.70666,2.53001,"none",0.70643,0.70677,0.70608,"Comment",-1,-1,"Sample ID",""
2.104511,0.1694074,0.2375671,-0.004364936,0.01312812,-0.005224828,86.1,82,2.1,0.17468,0.24258,0.00068,0.01376,-8e-05,0.11494,0.00652,0.05672,0.00032,-1.65841,0.00027,0.17441,0.08264,0.72011,0.70609,2.54128,"none",0.70639,0.70672,0.70607,"Comment",-1,-1,"Sample ID",""
2.058047,0.1653166,0.2323562,-0.005657229,0.01210304,-0.005042873,86.3,84,2.1,0.17059,0.23737,-0.00061,0.01273,1e-04,0.115,0.00617,0.05364,-3e-04,-1.63465,-0.00024,0.17084,0.08277,0.71869,0.70572,2.48501,"none",0.70641,0.70675,0.70607,"Comment",-1,-1,"Sample ID",""
1.895266,0.1517619,0.2130818,-0.004486258,0.0118593,-0.005184641,86.5,86,1.9,0.15704,0.21809,0.00056,0.01249,-4e-05,0.11471,0.00657,0.05727,3e-04,-1.74522,0.00023,0.15681,0.08248,0.72005,0.70572,2.28869,"none",0.70637,0.70669,0.70606,"Comment",-1,-1,"Sample ID",""
1.776569,0.1419328,0.199513,-0.004751648,0.01097073,-0.004965811,86.7,88,1.8,0.14721,0.20452,3e-04,0.0116,0.00018,0.11473,0.00651,0.05672,0.00017,-1.73528,0.00012,0.14709,0.08251,0.71976,0.70604,2.14581,"none",0.70635,0.70665,0.70605,"Comment",-1,-1,"Sample ID",""
1.797122,0.144149,0.202243,-0.005167893,0.01084158,-0.005105219,86.9,90,1.8,0.14943,0.20725,-0.00012,0.01147,4e-05,0.11494,0.00636,0.05535,-7e-05,-1.65711,-5e-05,0.14947,0.0829,0.72098,0.70611,2.17135,"none",0.70633,0.70662,0.70603,"Comment",-1,-1,"Sample ID",""
1.866631,0.1499133,0.2103003,-0.004893647,0.01146494,-0.00501498,87.1,92,1.9,0.15519,0.21531,0.00015,0.0121,0.00013,0.11498,0.00646,0.05618,8e-05,-1.64337,6e-05,0.15513,0.08284,0.72077,0.70666,2.25519,"none",0.70635,0.70664,0.70606,"Comment",-1,-1,"Sample ID",""
1.873871,0.1503711,0.211083,-0.005031479,0.01158384,-0.00513278,87.3,94,1.9,0.15565,0.21609,2e-05,0.01221,1e-05,0.11495,0.0065,0.05652,1e-05,-1.65339,1e-05,0.15564,0.08279,0.72028,0.70717,2.26385,"none",0.70642,0.70667,0.70616,"Comment",-1,-1,"Sample ID",""
1.821474,0.1459957,0.2044836,-0.005041026,0.01114372,-0.005376619,87.5,96,1.8,0.15127,0.20949,1e-05,0.01177,-0.00023,0.11463,0.00644,0.0562,0,-1.77299,0,0.15127,0.08277,0.72208,0.70665,2.20004,"none",0.70649,0.70669,0.70628,"Comment",-1,-1,"Sample ID",""
1.826164,0.146723,0.2057505,-0.004837879,0.01121865,-0.005075342,87.7,98,1.8,0.152,0.21076,0.00021,0.01185,7e-05,0.11503,0.00647,0.05622,0.00011,-1.6221,8e-05,0.15192,0.08291,0.72119,0.70668,2.20672,"none",0.70651,0.7067,0.70632,"Comment",-1,-1,"Sample ID",""
1.806087,0.1444232,0.2031497,-0.004850016,0.01099609,-0.005199904,87.9,100,1.8,0.1497,0.20816,2e-04,0.01163,-6e-05,0.11487,0.00642,0.05585,0.00011,-1.68298,8e-05,0.14962,0.08257,0.71915,0.70644,2.18152,"none",0.70651,0.7067,0.70632,"Comment",-1,-1,"Sample ID",""
1.834054,0.1471947,0.2065781,-0.005062552,0.01132208,-0.005026361,88.1,102,1.8,0.15247,0.21159,-1e-05,0.01195,0.00012,0.11499,0.0065,0.05649,-1e-05,-1.63856,-1e-05,0.15248,0.08286,0.7206,0.70631,2.2161,"none",0.70642,0.70665,0.70618,"Comment",-1,-1,"Sample ID",""
1.784539,0.1426772,0.2003672,-0.00474176,0.01095976,-0.005177327,88.3,104,1.8,0.14795,0.20538,0.00031,0.01159,-4e-05,0.1147,0.00647,0.05643,0.00017,-1.74805,0.00012,0.14783,0.08256,0.72039,0.7064,2.15536,"none",0.70627,0.70648,0.70607,"Comment",-1,-1,"Sample ID",""
1.779549,0.1425789,0.1998949,-0.004753366,0.01120089,-0.004887543,88.5,106,1.8,0.14786,0.20491,0.00029,0.01183,0.00025,0.11476,0.00663,0.05774,0.00016,-1.72679,0.00012,0.14774,0.08274,0.72157,0.70644,2.15005,"none",0.7062,0.7064,0.706,"Comment",-1,-1,"Sample ID",""
1.757082,0.1407711,0.1975076,-0.005377041,0.01047316,-0.005275002,88.9,110,1.8,0.14605,0.20252,-0.00033,0.0111,-0.00013,0.11486,0.0063,0.05483,-0.00019,-1.68573,-0.00013,0.14618,0.08291,0.72115,0.70625,2.12291,"none",0.70615,0.70632,0.70598,"Comment",-1,-1,"Sample ID",""
1.715767,0.136916,0.192444,-0.004775376,0.01063091,-0.00511267,89.1,112,1.7,0.14219,0.19746,0.00027,0.01126,3e-05,0.11468,0.00654,0.05703,0.00016,-1.75577,0.00011,0.14208,0.08252,0.72012,0.70609,2.07259,"none",0.70614,0.7063,0.70598,"Comment",-1,-1,"Sample ID",""
1.708739,0.1365705,0.1919683,-0.005010278,0.01023003,-0.004958616,89.3,114,1.7,0.14185,0.19698,4e-05,0.01086,0.00018,0.11487,0.00633,0.05513,2e-05,-1.68272,1e-05,0.14183,0.08271,0.72011,0.70577,2.06444,"none",0.70614,0.7063,0.70598,"Comment",-1,-1,"Sample ID",""
1.694471,0.1351899,0.1906125,-0.004983035,0.01032278,-0.005188842,89.5,116,1.7,0.14047,0.19562,6e-05,0.01095,-5e-05,0.11504,0.00644,0.05599,4e-05,-1.61966,3e-05,0.14044,0.08259,0.71804,0.70573,2.04751,"none",0.70611,0.70626,0.70596,"Comment",-1,-1,"Sample ID",""
1.651718,0.1315759,0.1851086,-0.004944586,0.01025822,-0.004946649,89.7,118,1.7,0.13685,0.19012,1e-04,0.01089,2e-04,0.11469,0.00657,0.05727,6e-05,-1.75354,4e-05,0.13681,0.08253,0.71982,0.70591,1.99556,"none",0.7061,0.70624,0.70595,"Comment",-1,-1,"Sample ID",""
