"Blk88","Blk87","Blk86","Blk85","Blk84","Blk83","CycleSecs","name"
"-0.00606689","-0.005372206","-0.006416814","-0.004877509","-0.003594596","-0.005823472","1.1","PC_2016_01_A2_4R.run"
"-0.00593469","-0.005342743","-0.006340441","-0.004943338","-0.003503748","-0.005768686","1.2","PC_2016_01_A2_4R.run"
"-0.006227984","-0.005091014","-0.005995478","-0.00487878","-0.003244606","-0.005528394","1.4","PC_2016_01_A2_4R.run"
"-0.006091867","-0.005352881","-0.005803994","-0.00518652","-0.003586477","-0.005935182","1.5","PC_2016_01_A2_4R.run"
"-0.005813559","-0.005134038","-0.006312389","-0.005255945","-0.003412882","-0.005728914","1.7","PC_2016_01_A2_4R.run"
"-0.006230869","-0.005558481","-0.006017265","-0.00478334","-0.003046141","-0.005518736","1.9","PC_2016_01_A2_4R.run"
"-0.006018681","-0.005025805","-0.005900052","-0.005206223","-0.003560711","-0.005564582","2.1","PC_2016_01_A2_4R.run"
"-0.006312262","-0.005655965","-0.006022153","-0.005000729","-0.00349906","-0.005890585","2.3","PC_2016_01_A2_4R.run"
"-0.00584286","-0.005336195","-0.006016074","-0.005119103","-0.003569306","-0.005554118","2.5","PC_2016_01_A2_4R.run"
"-0.006169281","-0.005344374","-0.006051858","-0.00491843","-0.003231689","-0.005685909","2.7","PC_2016_01_A2_4R.run"
"-0.005981361","-0.005287448","-0.005685041","-0.005102437","-0.003389044","-0.005738456","2.9","PC_2016_01_A2_4R.run"
"-0.006068251","-0.005186963","-0.006061636","-0.005096999","-0.003302855","-0.005833921","3.1","PC_2016_01_A2_4R.run"
"-0.006013056","-0.005433308","-0.006075061","-0.005034017","-0.003462293","-0.005679219","3.3","PC_2016_01_A2_4R.run"
"-0.006170867","-0.005273612","-0.005867098","-0.005030282","-0.003440284","-0.005988177","3.5","PC_2016_01_A2_4R.run"
"-0.006021596","-0.005405208","-0.00590835","-0.005002049","-0.0033643","-0.005665876","3.7","PC_2016_01_A2_4R.run"
"-0.006026163","-0.005618221","-0.006026758","-0.00515879","-0.003296819","-0.005579087","3.9","PC_2016_01_A2_4R.run"
"-0.005871321","-0.0050625","-0.005809815","-0.004800848","-0.003259762","-0.005753417","10.1","PC_2016_01_A2_4R.run"
