"Sample_ID","User_initials","Sample_Type","ShinyDate","Comment","region","Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","MA","MAp2SE","MAm2SE","RunSpeed","Raw88LowerThresh","Raw88UpperThresh","Smoother","Smooth_parameter","TrimLeft","TrimRight","Fluency","SpotSize","IntegrationTime","OutlierNum","CIoutliers","Length (um)"
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.554878,0.2906428,0.4023108,-0.00401256,0.01810091,-0.005852274,62.1,0,3.6,0.29585,0.40884,0.00103,0.02313,0.00019,0.11481,0.00649,0.05657,0.00029,-1.70744,0.00041,0.29543,0.08296,0.72362,0.70819,4.28849,0.70782,0.70788,0.70775,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.586202,0.2929208,0.4055209,-0.003625631,0.01852848,-0.005919383,62.3,2,3.6,0.29812,0.41205,0.00142,0.02356,0.00012,0.1147,0.00656,0.05717,4e-04,-1.74822,0.00057,0.29755,0.08283,0.72351,0.70803,4.32557,0.70781,0.70788,0.70775,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.672176,0.3002159,0.415552,-0.004154762,0.01877265,-0.006001266,62.5,4,3.7,0.30542,0.42208,0.00089,0.0238,4e-05,0.11475,0.00647,0.05639,0.00024,-1.73069,0.00036,0.30506,0.08293,0.7236,0.70793,4.42933,0.7078,0.70787,0.70774,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.546231,0.2893853,0.4006888,-0.003804716,0.01805325,-0.00603885,62.7,6,3.6,0.29459,0.40722,0.00124,0.02308,0,0.11463,0.0065,0.05668,0.00035,-1.77466,5e-04,0.29409,0.08279,0.72342,0.70776,4.27683,0.70779,0.70786,0.70772,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Core",3.63834,0.297104,0.4114908,-0.003837874,0.0185836,-0.006114305,62.9,8,3.6,0.30231,0.41802,0.00121,0.02361,-7e-05,0.1147,0.00648,0.05648,0.00033,-1.74929,0.00048,0.30182,0.08281,0.72319,0.70769,4.38801,0.70779,0.70785,0.70772,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Core",3.607792,0.29466,0.4081474,-0.003806053,0.01871382,-0.005881859,63.1,10,3.6,0.29986,0.41468,0.00124,0.02374,0.00016,0.11474,0.00657,0.05725,0.00034,-1.73245,5e-04,0.29937,0.08284,0.72312,0.7076,4.35179,0.70778,0.70785,0.70772,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Core",3.959706,0.3239619,0.4490387,-0.0035686,0.02072114,-0.005751022,63.5,14,4,0.32916,0.45557,0.00148,0.02575,0.00029,0.11487,0.00649,0.05652,0.00037,-1.68349,0.00059,0.32857,0.08285,0.72254,0.70763,4.77581,0.70778,0.70785,0.70771,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Core",3.956661,0.3236514,0.4477663,-0.003666358,0.02059723,-0.006070988,63.7,16,4,0.32885,0.45429,0.00138,0.02562,-3e-05,0.11464,0.00647,0.05641,0.00035,-1.7718,0.00055,0.3283,0.08284,0.72388,0.70765,4.77109,0.70779,0.70785,0.70772,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Core",3.877733,0.3168752,0.4385738,-0.00373185,0.02014602,-0.006031755,63.9,18,3.9,0.32208,0.4451,0.00131,0.02517,1e-05,0.1146,0.00648,0.05656,0.00034,-1.78592,0.00053,0.32155,0.08279,0.7236,0.70787,4.67577,0.70778,0.70785,0.70771,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Core",3.761472,0.3072227,0.4252829,-0.003849287,0.01956029,-0.006043936,64.1,20,3.8,0.31243,0.43181,0.0012,0.02459,0,0.11461,0.00653,0.05694,0.00032,-1.78263,0.00048,0.31195,0.0828,0.72352,0.70779,4.53603,0.70778,0.70784,0.70771,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
