"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID"
0.7501087,0.05823708,0.08182734,-0.004637216,0.0005463162,-0.005720565,57.7,0,0.8,0.06339,0.08817,0.00034,0.00513,0.00017,0.11659,0.00679,0.05821,0.00045,-1.03647,0.00013,0.06326,0.08365,0.71895,0.70858,0.91281,"none",0.70799,0.70832,0.70766,"Comment",-1,-1,""
1.363423,0.1093426,0.1529308,-0.004602837,0.004712139,-0.005869984,58.1,4,1.4,0.1145,0.15928,0.00037,0.0093,2e-05,0.1163,0.00679,0.05838,0.00027,-1.14655,0.00015,0.11435,0.08349,0.71886,0.70843,1.65249,"none",0.7079,0.70823,0.70756,"Comment",-1,-1,""
1.760667,0.1420227,0.198123,-0.004894706,0.007119999,-0.005628372,58.3,6,1.8,0.14718,0.20447,8e-05,0.01171,0.00026,0.11573,0.00663,0.05725,5e-05,-1.36016,3e-05,0.14714,0.08328,0.7198,0.70812,2.13012,"none",0.7078,0.70813,0.70747,"Comment",-1,-1,""
1.898304,0.1532991,0.2135816,-0.004702998,0.007931662,-0.005887471,58.5,8,1.9,0.15845,0.21993,0.00027,0.01252,0,0.11548,0.00657,0.05692,0.00014,-1.45303,0.00011,0.15834,0.08314,0.72048,0.70786,2.29523,"none",0.70774,0.70807,0.70741,"Comment",-1,-1,""
2.190601,0.1773292,0.2472363,-0.005051888,0.009576781,-0.005896444,58.7,10,2.2,0.18248,0.25358,-7e-05,0.01416,-1e-05,0.11543,0.00645,0.05585,-3e-05,-1.47017,-3e-05,0.18251,0.08308,0.71962,0.70759,2.647,"none",0.70769,0.70802,0.70736,"Comment",-1,-1,""
2.266165,0.183555,0.2555206,-0.004680449,0.01052983,-0.00567545,58.9,12,2.3,0.18871,0.26186,3e-04,0.01512,0.00021,0.11524,0.00665,0.05772,0.00013,-1.54299,0.00012,0.18859,0.083,0.72063,0.70736,2.73788,"none",0.70754,0.70783,0.70726,"Comment",-1,-1,""
2.346903,0.1902177,0.2648124,-0.004688441,0.01100711,-0.005915839,59.1,14,2.4,0.19537,0.27116,0.00029,0.01559,-3e-05,0.11524,0.00663,0.0575,0.00012,-1.54501,0.00012,0.19526,0.08298,0.72051,0.70733,2.83505,"none",0.7074,0.70762,0.70718,"Comment",-1,-1,""
2.51462,0.2041442,0.2845035,-0.004805747,0.01196806,-0.005677845,59.3,16,2.5,0.2093,0.29085,0.00017,0.01655,0.00021,0.11538,0.00657,0.05692,7e-05,-1.4905,7e-05,0.20923,0.083,0.71961,0.70715,3.03739,"none",0.70727,0.70746,0.70707,"Comment",-1,-1,""
2.703917,0.2198456,0.3058344,-0.004674287,0.01339395,-0.0058568,59.5,18,2.7,0.225,0.31218,3e-04,0.01798,3e-05,0.11519,0.00663,0.05759,0.00011,-1.56161,0.00012,0.22488,0.08298,0.72074,0.70723,3.26509,"none",0.70717,0.70732,0.70702,"Comment",-1,-1,""
2.698434,0.2190996,0.3048833,-0.004541335,0.01332922,-0.005692121,59.7,20,2.7,0.22425,0.31123,0.00044,0.01791,0.00019,0.11507,0.00662,0.05756,0.00016,-1.60628,0.00017,0.22408,0.08285,0.72054,0.70727,3.2578,"none",0.70712,0.70724,0.707,"Comment",-1,-1,""
