"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","Userinitials"
0.8948204,0.06997155,0.09755706,-0.004745958,0.001279639,-0.005782462,57.5,0,0.9,0.07512,0.1039,0.00025,0.00587,0.00011,0.11532,0.00651,0.05646,0.00027,-1.51303,1e-04,0.07502,0.08327,0.72301,0.7092,1.08574,"none",0.7085,0.70878,0.70823,"Comment2",-1,-1,"Ugh","MW"
1.014783,0.07989209,0.1114228,-0.004934183,0.002074303,-0.005830725,57.7,2,1,0.08504,0.11777,6e-05,0.00666,7e-05,0.11535,0.00652,0.05656,6e-05,-1.50138,2e-05,0.08502,0.08328,0.72212,0.70863,1.23036,"none",0.70845,0.70873,0.70818,"Comment2",-1,-1,"Ugh","MW"
1.062893,0.08378401,0.116696,-0.004685363,0.002314329,-0.005952643,57.9,4,1.1,0.08893,0.12304,0.00031,0.0069,-6e-05,0.11509,0.00646,0.05609,0.00029,-1.59906,0.00012,0.08881,0.08308,0.72281,0.70871,1.28778,"none",0.70837,0.70864,0.70809,"Comment2",-1,-1,"Ugh","MW"
1.282645,0.101835,0.1422254,-0.004790434,0.004059704,-0.005901213,58.3,8,1.3,0.10698,0.14857,2e-04,0.00865,-1e-05,0.11528,0.00671,0.0582,0.00016,-1.52946,8e-05,0.1069,0.08295,0.7201,0.7083,1.5529,"none",0.70833,0.7086,0.70805,"Comment2",-1,-1,"Ugh","MW"
1.391186,0.1111682,0.1545846,-0.00468673,0.004725231,-0.005887247,58.5,10,1.4,0.11632,0.16093,0.00031,0.00931,1e-05,0.11517,0.00666,0.05786,0.00022,-1.57087,0.00012,0.11619,0.08316,0.72279,0.70809,1.68376,"none",0.70829,0.70857,0.70802,"Comment2",-1,-1,"Ugh","MW"
1.48566,0.1188016,0.1656512,-0.004714212,0.005240312,-0.005834587,58.7,12,1.5,0.12395,0.17199,0.00028,0.00983,6e-05,0.11529,0.00659,0.05714,0.00019,-1.52372,0.00011,0.12384,0.08301,0.72067,0.70809,1.79746,"none",0.70814,0.70835,0.70793,"Comment2",-1,-1,"Ugh","MW"
1.490808,0.119211,0.1658559,-0.004853015,0.005190438,-0.00596318,58.9,14,1.5,0.12436,0.1722,0.00014,0.00978,-7e-05,0.11503,0.00653,0.05678,9e-05,-1.6219,6e-05,0.1243,0.08304,0.72219,0.70816,1.80322,"none",0.70805,0.70824,0.70786,"Comment2",-1,-1,"Ugh","MW"
1.772581,0.1431391,0.199218,-0.004453483,0.007534541,-0.005670806,59.1,16,1.8,0.14829,0.20556,0.00054,0.01212,0.00023,0.11557,0.00681,0.05897,3e-04,-1.4205,0.00021,0.14807,0.08325,0.72138,0.70775,2.14447,"none",0.70796,0.70809,0.70783,"Comment2",-1,-1,"Ugh","MW"
1.751484,0.1406587,0.1960756,-0.004962973,0.006635699,-0.005956688,59.3,18,1.8,0.14581,0.20242,3e-05,0.01122,-6e-05,0.11517,0.00638,0.05544,2e-05,-1.5717,1e-05,0.1458,0.08295,0.72033,0.708,2.11706,"none",0.7079,0.70802,0.70778,"Comment2",-1,-1,"Ugh","MW"
1.703068,0.1366972,0.1903145,-0.00450651,0.006833043,-0.005693454,59.5,20,1.7,0.14185,0.19666,0.00049,0.01142,2e-04,0.11506,0.00668,0.05807,0.00028,-1.61268,0.00019,0.14165,0.08288,0.72129,0.70799,2.05893,"none",0.70785,0.70797,0.70773,"Comment2",-1,-1,"Ugh","MW"
1.76212,0.1417789,0.1973261,-0.005103483,0.006835815,-0.005922623,59.7,22,1.8,0.14693,0.20367,-0.00011,0.01142,-3e-05,0.11518,0.00646,0.05608,-6e-05,-1.56623,-4e-05,0.14697,0.08312,0.72141,0.70771,2.13032,"none",0.70781,0.70792,0.70769,"Comment2",-1,-1,"Ugh","MW"
2.005137,0.16237,0.2259123,-0.004513416,0.00892255,-0.005710046,59.9,24,2,0.16752,0.23225,0.00048,0.01351,0.00019,0.11548,0.00672,0.05817,0.00024,-1.45449,0.00019,0.16733,0.08319,0.72127,0.70774,2.42436,"none",0.70777,0.70785,0.70769,"Comment2",-1,-1,"Ugh","MW"
1.993169,0.1605892,0.223676,-0.004975228,0.008328624,-0.005923543,60.1,26,2,0.16574,0.23002,2e-05,0.01292,-3e-05,0.11505,0.00646,0.05615,1e-05,-1.61586,1e-05,0.16573,0.08289,0.72054,0.70778,2.40797,"none",0.70778,0.70787,0.7077,"Comment2",-1,-1,"Ugh","MW"
