"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID"
3.403809,0.2782227,0.3871354,-0.004621259,0.01774007,-0.005511514,139.8,0,3.4,0.28475,0.39523,0.00036,0.02235,0.00037,0.11548,0.00653,0.05654,0.00011,-1.45411,0.00014,0.28461,0.08316,0.72047,0.70767,4.12477,"none",0.70763,0.70777,0.70749,"Comment",500,-1,"fish1"
3.417706,0.2788678,0.3881767,-0.004463313,0.01776923,-0.006005401,140,2,3.4,0.2854,0.39627,0.00052,0.02237,-0.00012,0.11531,0.00651,0.05646,0.00015,-1.51597,0.00021,0.28519,0.08299,0.7202,0.70756,4.14032,"none",0.70768,0.70782,0.70754,"Comment",500,-1,"fish1"
3.37929,0.2756593,0.3834952,-0.004801961,0.01741927,-0.005876441,140.2,4,3.4,0.28219,0.39159,0.00018,0.02202,1e-05,0.11524,0.00648,0.05624,5e-05,-1.54393,7e-05,0.28212,0.08302,0.72062,0.70754,4.0938,"none",0.70773,0.70787,0.70759,"Comment",500,-1,"fish1"
3.050659,0.2476444,0.3443137,-0.004613802,0.01548295,-0.005730956,140.4,6,3.1,0.25417,0.35241,0.00037,0.02009,0.00015,0.11481,0.00654,0.057,0.00012,-1.70548,0.00015,0.25403,0.08276,0.72124,0.70757,3.69596,"none",0.70778,0.70791,0.70764,"Comment",500,-1,"fish1"
3.380273,0.2763082,0.3846922,-0.004694929,0.0174235,-0.005872183,140.6,8,3.4,0.28284,0.39279,0.00029,0.02203,1e-05,0.11556,0.00648,0.05608,8e-05,-1.42366,0.00011,0.28272,0.08318,0.72008,0.70767,4.09659,"none",0.70779,0.70793,0.70765,"Comment",500,-1,"fish1"
3.328265,0.2716144,0.3774359,-0.004700619,0.01737835,-0.005756078,140.8,10,3.3,0.27814,0.38553,0.00028,0.02198,0.00013,0.11519,0.00657,0.05702,8e-05,-1.56416,0.00011,0.27803,0.08307,0.72145,0.70779,4.03259,"none",0.70783,0.70797,0.70768,"Comment",500,-1,"fish1"
3.426305,0.2795771,0.3887645,-0.004636427,0.01773504,-0.006059404,141,12,3.4,0.28611,0.39686,0.00035,0.02234,-0.00018,0.1152,0.00648,0.05629,1e-04,-1.56023,0.00014,0.28597,0.08301,0.72092,0.70796,4.15025,"none",0.70789,0.70803,0.70774,"Comment",500,-1,"fish1"
3.335639,0.2721105,0.3778033,-0.004605203,0.01747107,-0.005604594,141.2,14,3.4,0.27864,0.3859,0.00038,0.02208,0.00028,0.11504,0.00658,0.05721,0.00011,-1.61849,0.00015,0.27849,0.08302,0.72205,0.70809,4.04088,"none",0.70795,0.70808,0.70782,"Comment",500,-1,"fish1"
3.287291,0.2677694,0.3722611,-0.004755026,0.0164784,-0.005875419,141.4,16,3.3,0.2743,0.38036,0.00023,0.02108,1e-05,0.11505,0.00638,0.05543,7e-05,-1.61622,9e-05,0.27421,0.08294,0.72116,0.70813,3.98172,"none",0.708,0.70811,0.7079,"Comment",500,-1,"fish1"
3.515392,0.2875723,0.3997187,-0.004783518,0.01844639,-0.005881051,141.6,18,3.5,0.2941,0.40781,2e-04,0.02305,0,0.11539,0.00652,0.05652,6e-05,-1.48634,8e-05,0.29402,0.08319,0.72116,0.70792,4.25906,"none",0.70808,0.70819,0.70797,"Comment",500,-1,"fish1"
