"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
0.5836493,0.04398647,0.06169036,-0.005004935,-0.000703002,-0.005930392,43.9,0,0.6,0.05069,0.07005,-3e-05,0.004,-4e-05,0.11599,0.00662,0.05705,-4e-05,-1.26071,-1e-05,0.0507,0.08395,0.72359,0.71184,0.72867,"none",0.71117,0.71144,0.7109,"Comment",-1,-1,"",""
0.826689,0.06416415,0.08969498,-0.004522593,0.0007268038,-0.005767488,44.3,4,0.8,0.07087,0.09805,0.00046,0.00543,0.00012,0.11577,0.00641,0.05534,0.00054,-1.34318,0.00018,0.07068,0.08346,0.72271,0.71124,1.02113,"none",0.71118,0.71145,0.71091,"Comment",-1,-1,"",""
0.7357454,0.05625489,0.07857165,-0.005406419,4.677561e-05,-0.006119588,44.5,6,0.8,0.06296,0.08693,-0.00043,0.00475,-0.00023,0.11499,0.00628,0.05459,-0.00057,-1.63992,-0.00017,0.06313,0.0835,0.7242,0.71122,0.91083,"none",0.71122,0.71149,0.71095,"Comment",-1,-1,"",""
0.7679405,0.05924046,0.08285246,-0.004469605,0.0004265815,-0.005895446,44.9,10,0.8,0.06594,0.09121,0.00051,0.00513,-1e-05,0.11572,0.0065,0.0562,0.00065,-1.36279,2e-04,0.06574,0.0834,0.72295,0.71041,0.95029,"none",0.7113,0.71157,0.71103,"Comment",-1,-1,"",""
0.7692915,0.05920691,0.08297476,-0.005192907,0.0002763689,-0.005993865,45.1,12,0.8,0.06591,0.09133,-0.00021,0.00498,-0.00011,0.11568,0.0063,0.05448,-0.00027,-1.37901,-8e-05,0.06599,0.08358,0.72161,0.71114,0.95187,"none",0.71133,0.7116,0.71106,"Comment",-1,-1,"",""
0.687504,0.05229416,0.07340451,-0.004893989,-1.502833e-05,-0.005996192,45.3,14,0.7,0.059,0.08176,9e-05,0.00468,-0.00011,0.11552,0.00662,0.05729,0.00012,-1.43717,3e-05,0.05896,0.0833,0.72153,0.71117,0.85319,"none",0.71124,0.7115,0.71099,"Comment",-1,-1,"",""
0.6666791,0.05088608,0.07081669,-0.004759104,-0.0003643039,-0.005849053,45.5,16,0.7,0.05759,0.07918,0.00022,0.00433,4e-05,0.11526,0.00631,0.05475,0.00032,-1.53717,9e-05,0.0575,0.0837,0.72733,0.71122,0.82797,"none",0.71125,0.7115,0.71099,"Comment",-1,-1,"",""
0.7631347,0.058975,0.08259027,-0.005138002,0.0003829731,-0.0060478,45.7,18,0.8,0.06568,0.09095,-0.00016,0.00508,-0.00016,0.1161,0.00649,0.05588,-2e-04,-1.22187,-6e-05,0.06574,0.08391,0.72211,0.71152,0.94518,"none",0.71124,0.71149,0.71099,"Comment",-1,-1,"",""
0.8043646,0.06210145,0.08698471,-0.004903295,0.000550886,-0.005577068,45.9,20,0.8,0.0688,0.09534,8e-05,0.00525,0.00031,0.11562,0.00637,0.05506,9e-05,-1.40055,3e-05,0.06877,0.0834,0.72162,0.71194,0.99401,"none",0.71133,0.7115,0.71115,"Comment",-1,-1,"",""
0.8799372,0.06867345,0.09590142,-0.005148347,0.0008926065,-0.006096865,46.1,22,0.9,0.07537,0.10426,-0.00017,0.00559,-0.00021,0.11582,0.00621,0.05363,-0.00019,-1.32574,-7e-05,0.07544,0.0838,0.72294,0.71158,1.08551,"none",0.71133,0.7115,0.71115,"Comment",-1,-1,"",""
