"RunFile_ID","Sample_ID","User_initials","Sample_Type","ShinyDate","Comment","Flag","region","Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","MA","MAp2SE","MAm2SE","RunSpeed","Raw88LowerThresh","Raw88UpperThresh","Smoother","Smooth_parameter","TrimLeft","TrimRight","Fluency","SpotSize","LaserEnergy","IntegrationTime","OutlierNum","CIoutliers","Length (um)"
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",1.326677,0.1060294,0.1479163,-0.004150978,0.005328812,-0.005287663,47.9,6,1.3,0.11081,0.15399,0.00024,0.00909,8e-05,0.11554,0.00682,0.05903,0.00018,-1.42932,1e-04,0.11071,0.08307,0.71959,0.70761,1.60657,0.70723,0.70755,0.70691,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",1.698073,0.1373805,0.1918132,-0.004013919,0.007718549,-0.005293214,48.1,8,1.7,0.14216,0.19789,0.00038,0.01148,7e-05,0.11612,0.00674,0.05802,0.00022,-1.21219,0.00015,0.14201,0.08333,0.71839,0.70743,2.05555,0.70715,0.70747,0.70683,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.121141,0.172484,0.2400486,-0.003834835,0.01054961,-0.00502479,48.3,10,2.1,0.17727,0.24612,0.00056,0.01431,0.00034,0.1157,0.00673,0.05815,0.00026,-1.36961,0.00022,0.17704,0.08323,0.72023,0.70737,2.56472,0.70705,0.70737,0.70673,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.414551,0.196126,0.272841,-0.003947705,0.01261941,-0.005369409,48.7,14,2.4,0.20091,0.27892,0.00044,0.01638,-1e-05,0.11522,0.00677,0.05873,0.00018,-1.54961,0.00018,0.20073,0.08292,0.72031,0.70713,2.91667,0.70697,0.70729,0.70665,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.773674,0.226604,0.3158422,-0.003860098,0.01519193,-0.00503089,48.9,16,2.8,0.23139,0.32192,0.00053,0.01895,0.00033,0.11581,0.00682,0.05888,0.00019,-1.32979,0.00021,0.23117,0.08316,0.71877,0.707,3.35181,0.70689,0.70721,0.70657,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.879698,0.2347916,0.3270257,-0.003420781,0.01588455,-0.005320083,49.1,18,2.9,0.23957,0.3331,0.00097,0.01965,4e-05,0.11543,0.00681,0.05898,0.00034,-1.47265,0.00039,0.23919,0.08288,0.71922,0.70684,3.47773,0.70673,0.70705,0.70641,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.070719,0.2509595,0.3497881,-0.004189458,0.01722747,-0.005195179,49.3,20,3.1,0.25574,0.35586,2e-04,0.02099,0.00017,0.11566,0.00682,0.05898,7e-05,-1.38532,8e-05,0.25566,0.08309,0.71865,0.70667,3.70933,0.70658,0.70689,0.70626,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.111915,0.2541616,0.3532321,-0.003769904,0.01730178,-0.005250142,49.5,22,3.1,0.25894,0.35931,0.00062,0.02106,0.00011,0.11524,0.00676,0.05862,2e-04,-1.54504,0.00025,0.25869,0.08297,0.72067,0.70634,3.75708,0.70645,0.70672,0.70618,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.242495,0.2647999,0.3689922,-0.003766181,0.01847036,-0.00535848,49.7,24,3.2,0.26958,0.37507,0.00063,0.02223,1e-05,0.11546,0.00684,0.05928,0.00019,-1.46226,0.00025,0.26933,0.08291,0.71875,0.70636,3.91522,0.70635,0.70659,0.70612,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.142235,0.255922,0.3567456,-0.004088392,0.01751304,-0.005231735,49.9,26,3.1,0.2607,0.36282,3e-04,0.02128,0.00013,0.11524,0.00676,0.05864,1e-04,-1.54269,0.00012,0.26058,0.08277,0.71854,0.70616,3.79301,0.70629,0.70647,0.70611,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.111386,0.2537869,0.3536688,-0.003943646,0.01756971,-0.005218002,50.1,28,3.1,0.25857,0.35975,0.00045,0.02133,0.00015,0.1154,0.00684,0.0593,0.00014,-1.48477,0.00018,0.25839,0.08288,0.71875,0.70601,3.75695,0.70624,0.70638,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.085793,0.2515971,0.3506216,-0.003989682,0.01722182,-0.005163445,50.3,30,3.1,0.25638,0.3567,4e-04,0.02098,2e-04,0.11537,0.00679,0.05883,0.00013,-1.49623,0.00016,0.25622,0.08287,0.71876,0.70589,3.72579,0.70621,0.70633,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.926111,0.2382911,0.3315274,-0.004004067,0.01635502,-0.004992766,50.5,32,2.9,0.24307,0.3376,0.00039,0.02012,0.00037,0.11514,0.00686,0.05959,0.00013,-1.58284,0.00016,0.24292,0.08284,0.71999,0.70612,3.53284,0.70621,0.70632,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.8775,0.2340021,0.3259085,-0.003780778,0.01556269,-0.005315423,50.7,34,2.9,0.23878,0.33198,0.00061,0.01932,5e-05,0.11513,0.0067,0.05821,0.00021,-1.58572,0.00024,0.23854,0.08272,0.71926,0.70616,3.47344,0.70622,0.70633,0.70611,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.907032,0.2370594,0.3301485,-0.004022818,0.01592333,-0.005249877,50.9,36,2.9,0.24184,0.33622,0.00037,0.01969,0.00011,0.11542,0.00676,0.05855,0.00013,-1.47683,0.00015,0.24169,0.08297,0.71928,0.70635,3.51073,0.70624,0.70636,0.70612,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.119296,0.2547156,0.35521,-0.003967426,0.01754309,-0.005275746,51.1,38,3.1,0.2595,0.36129,0.00042,0.02131,9e-05,0.1156,0.00682,0.05897,0.00014,-1.40899,0.00017,0.25933,0.08297,0.71826,0.70639,3.76731,0.70626,0.70637,0.70616,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.214334,0.2626848,0.3655046,-0.003889249,0.01814013,-0.005140333,51.3,40,3.2,0.26747,0.37158,5e-04,0.0219,0.00022,0.11538,0.0068,0.05894,0.00016,-1.48993,2e-04,0.26727,0.08299,0.71981,0.70638,3.88118,0.70631,0.70638,0.70625,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.056736,0.2492156,0.3467252,-0.004027623,0.01684232,-0.005487518,51.5,42,3.1,0.254,0.3528,0.00036,0.0206,-0.00012,0.11519,0.00673,0.0584,0.00012,-1.56333,0.00015,0.25385,0.08288,0.71994,0.70633,3.69009,0.70635,0.7064,0.70629,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.002139,0.2443917,0.3405654,-0.003809839,0.01654831,-0.005119051,51.7,44,3,0.24917,0.34664,0.00058,0.02031,0.00025,0.11523,0.00675,0.05859,0.00019,-1.54711,0.00023,0.24894,0.08275,0.71882,0.70643,3.62413,0.70636,0.7064,0.70631,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",2.939985,0.2396306,0.3337034,-0.004019657,0.01625974,-0.005302665,51.9,46,2.9,0.24441,0.33978,0.00037,0.02002,6e-05,0.11533,0.0068,0.05893,0.00013,-1.50865,0.00015,0.24426,0.08291,0.71933,0.70635,3.55014,0.70634,0.70639,0.70628,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.28923,0.2690065,0.3748887,-0.003975052,0.01856399,-0.005211368,52.1,48,3.3,0.27379,0.38097,0.00042,0.02233,0.00015,0.11561,0.00678,0.0586,0.00013,-1.40501,0.00017,0.27362,0.08303,0.71867,0.70625,3.97224,0.7063,0.70638,0.70622,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.436476,0.2812159,0.3916673,-0.003719202,0.01955181,-0.005116085,52.3,50,3.4,0.286,0.39774,0.00067,0.02331,0.00025,0.11554,0.00677,0.05862,2e-04,-1.43173,0.00027,0.28573,0.083,0.71905,0.70638,4.14936,0.70628,0.70636,0.70619,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.614696,0.295673,0.4117032,-0.003643262,0.0206256,-0.005295835,52.5,52,3.6,0.30045,0.41778,0.00075,0.02439,7e-05,0.11538,0.00674,0.05837,0.00021,-1.48953,3e-04,0.30016,0.0829,0.71917,0.70646,4.36311,0.70624,0.70635,0.70614,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.611234,0.295313,0.4114715,-0.003834874,0.0207301,-0.005184499,52.7,54,3.6,0.30009,0.41755,0.00056,0.02449,0.00018,0.11543,0.00677,0.05866,0.00015,-1.47204,0.00022,0.29987,0.0829,0.71871,0.70624,4.35924,0.70621,0.70631,0.70611,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.553582,0.2906891,0.4042533,-0.003764091,0.02032303,-0.005076746,52.9,56,3.6,0.29547,0.41033,0.00063,0.02409,0.00029,0.11527,0.00677,0.0587,0.00018,-1.53177,0.00025,0.29522,0.08293,0.72008,0.70618,4.28931,0.70619,0.70628,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.467274,0.2830494,0.3944643,-0.003817793,0.01973461,-0.005365417,53.1,58,3.5,0.28783,0.40054,0.00057,0.0235,0,0.11532,0.00676,0.05866,0.00017,-1.51439,0.00023,0.2876,0.0828,0.71861,0.70603,4.18501,0.7062,0.70631,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.631385,0.297179,0.4141611,-0.003887443,0.02082146,-0.005181184,53.3,60,3.6,0.30196,0.42024,5e-04,0.02458,0.00018,0.11553,0.00676,0.0585,0.00014,-1.43436,2e-04,0.30176,0.08296,0.71855,0.70615,4.38406,0.70621,0.70632,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.473015,0.283415,0.394886,-0.003774642,0.0196664,-0.005103136,53.5,62,3.5,0.2882,0.40096,0.00062,0.02343,0.00026,0.11525,0.00673,0.05843,0.00018,-1.54048,0.00025,0.28795,0.08277,0.71876,0.70598,4.19145,0.70623,0.70636,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.404742,0.2781208,0.3873582,-0.004352289,0.01921899,-0.005309156,53.7,64,3.4,0.2829,0.39343,4e-05,0.02298,6e-05,0.11535,0.00674,0.05841,1e-05,-1.50278,2e-05,0.28289,0.08294,0.71906,0.70611,4.11014,0.70629,0.70646,0.70611,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.137834,0.2556006,0.3555475,-0.003801584,0.01748767,-0.005368469,53.9,66,3.1,0.26038,0.36162,0.00059,0.02125,0,0.11502,0.00676,0.05876,0.00019,-1.62578,0.00024,0.26015,0.08275,0.72004,0.70612,3.78695,0.70635,0.70654,0.70615,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.216979,0.2627827,0.3662228,-0.003857323,0.01797655,-0.005225728,54.1,68,3.2,0.26756,0.3723,0.00054,0.02174,0.00014,0.11551,0.00674,0.05839,0.00017,-1.44161,0.00021,0.26735,0.08295,0.71868,0.7064,3.88446,0.70639,0.70658,0.7062,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
"Yolo_bypass_2015_DS_01_A5","","","IsoFish",2017-07-07,"","No","none",3.211544,0.2621108,0.3651727,-0.004112219,0.01766668,-0.005163955,54.3,70,3.2,0.26689,0.37125,0.00028,0.02143,2e-04,0.11538,0.00666,0.05772,9e-05,-1.4911,0.00011,0.26678,0.08291,0.7189,0.70644,3.8771,0.70642,0.7066,0.70624,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",516
